,,,,,,,,FROM EBIRD/HISTORICAL WEATHER DATA,Northernly distribution (place),,,,,Southernly distribution (place),,,,,Date of arrival to northernly distribution,,,,,Mean temp (F) at arrival to northernly distribution,,,,,Min temp (F) at arrival to northernly distribution,,,,,Max temp (F) at arrival to northernly distribution,,,,,Date of arrival to southernly distribution,,,,,Mean temp at arrival to southernly distribution,,,,,Min temp at arrival to southernly distribution,,,,,Max temp at arrival to southernly distribution,,,,,Max temp while in northern distribution,,,,,Max temp while in southern distribution,,,,,Min temp while in northern distribution,,,,,Min temp while in southern distribution,,,,,Mean temp while in northern distribution,,,,,Mean temp while in southern distribution,,,,,,,
Cygnus_olor,Mute Swan,9700,15,0.8,Bech 1980,winter birds did not have an accurate LCT,,,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,,
Ducula_pistrinaria,Island Imperial Pigeon,394.2,35,27,McNab 2000,,,,"Peter Haven, Garove Island, Papua New Guinea","Kimbe Bay, Malumalu Island, Papua New Guinea","Kimbe Bay, Malumalu Island, Papua New Guinea","Howae Island, Manus Islands, Papua New Guinea","Mount Rairaka, Bougainville Island, Papua New Guinea","Tetepare Nature Preserve, Tetepare, Solomon Islands","Naepaepa Mountain, San Cristobal, Solomon Islands","Nggela Pile Island, Solomon Islands","Russul Islands, Solomon Islands","Wemaregha, San Cristobal, Solomon Islands",September 27,July 20,July 25,October 18,December 21,77.75,n/a,n/a,n/a,n/a,73,n/a,n/a,n/a,n/a,82,n/a,n/a,n/a,n/a,June 16,June 28,October 8,May 6,December 2,78.69,77.94,n/a,n/a,n/a,73,73,n/a,n/a,n/a,86,84,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Ducula_zoeae,Zoe's Imperial Pigeon,456.6,32,19,McNab 2000,,,,"Malagufuk, Papua Barat, Indonesia (northeast of Sorong)","Sorong, Papua Barat, Indonesia","Nimbokrang, Indonesia (west of Jayapura)","Nimbokrang, Indonesia (west of Jayapura)","Nimbokrang, Indonesia (west of Jayapura)","Varirata National Park, Papua New Guinea","Varirata National Park, Papua New Guinea","Varirata National Park, Papua New Guinea","Nigila, Papua New Guinea (east of Alotau)","Varirata National Park, Papua New Guinea",June 13,March 16,September 29,October 6,July 29,81,82,80.67,82.55,81.35,75,77,73,75,73,87,90,88,91,88,October 10,May 30,July 31,April 25,June 26,80.07,n/a,n/a,78.5,n/a,77,n/a,n/a,77,n/a,84,n/a,n/a,79,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Eremalauda_dunni,Dunn's Lark,20.6,43.6,31.5,Tieleman et al. 2002,,,VERY little distributional data,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,,
Eremiornis_carteri (Megalurus_carteri or Poodytes_carteri),Spinifexbird,11.7,39,30,Ambrose et al. 1996,,,,"Barrow Island, Australia","Barkly, Australia (north of Tennant Creek, south of Warumungu)","Barrow Island, Australia","Barrow Island, Australia","Barkly, Australia (north of Tennant Creek, south of Warumungu)",southeast of Tjoritja/West MacDonnell National Park Australia,"MacDonnell, Australia (west of Santa Teresa)","MacDonnell, Australia (west of Santa Teresa)","MacDonnell, Australia (west of Santa Teresa)","MacDonnell, Australia (west of Santa Teresa)",September 2,July 24,January 16,October 14,April 23,78.06,68.71,84,82.31,60.31,68,54,79,72,50,91,79,89,92,73,February 2,April 11,January 6,March 24,July 11,70.46,68.34,70.13,62.83,46.72,63,50,59,52,41,84,88,86,72,54,n/a,97,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59.18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Eremophila_alpestris,Horned Lark,26,35,25,Trost 1972,,,,"Bylot, Baffin, Nunavut, Canada (north of Sirmilik National Park)","Pond Inlet (town), Baffin, Nunavut, Canada","Bylot Island, Baffin, Nunavut, Canada (south of Sirmilik National Park)","Bylot Island, Black Mountains, Baffin, Nunavut, Canada","Bylot Island, Baffin, Nunavut, Canada","Esperanza, Mexico","Cuesta Chica, Cañada Morelos, Puebla, Mexico","Parque Nacional El Tepozteco, Mexico","north of El Frijol Colorado, Mexico","Laguna Almoloya, Mexico (southeast of Toluca, west of Parque Nacional Cumbres del Ajusco)",June 11,June 15,June 25,July 30,July 29,43.51,42.08,38.03,50.53,39.04,36,37,34,45,36,46,48,43,59,45,January 19,October 2,July 28,May 22,January 2,71.57,67.85,57.6,75.57,47.88,50,57,46,64,30,86,77,72,85,64,n/a,n/a,n/a,n/a,n/a,n/a,n/a,79,n/a,81,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23,n/a,28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,54.02,n/a,54.3,,,
Erythrura_gouldiae,Gouldian Finch,17.1,38,31.7,"Burton and Weathers, 2003",,,,"Tumbling Waters, Litchfield, Australia","Marrakai, Australia (south of Djukbinj National Park)","Nitmiluk, Australia","Marrakai, Australia (south of Djukbinj National Park)","Marrakai, Australia (south of Djukbinj National Park)","Mornington Wildlife Sanctuary, Derby-West Kimberley, Australia (King Leopold Ranges Conservation Park)","Burke, Australia (east of Lawn Hill (Arthur Creek) Resources Reserve)","Mornington Wildlife Sanctuary, Derby-West Kimberley, Australia (King Leopold Ranges Conservation Park)","Illawarra Creek, Top Springs, Australia","El Questro, Wyndham-East Kimberly, Australia",August 19,June 24,August 20,August 6,July 24,82.94,78.65,83.87,76.26,80.1,77,68,73,66,72,88,88,91,86,86,April 25,July 8,June 27,August 3,July 11,83.13,69.88,75.93,71.14,74.33,69,63,60,61,59,96,80,90,81,91,100,93,95,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59,61,61,n/a,n/a,n/a,n/a,n/a,n/a,n/a,82.52,77.34,82.94,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Eudyptula_minor,Little Penguin,900,30,10,"Stahel and Nicol, 1982",,,,"Penguin Island, Rockingham, Australia","Point Peron, Rockingham, Australia","Penguin Island, Rockingham, Australia","Montague Island Nature Conservation Reserve, Eurobodalla, Australia","Penguin Island, Rockingham, Australia","Kundy Island, Southland District, New Zealand","Stewart Island, Southland District, New Zealand","Wreck Reef, Southland District, New Zealand (off of Stewart Island)","Wreck Reef, Southland District, New Zealand (off of Stewart Island)","Steward Island, New Zealand",January 2,June 9,January 10,March 21,January 8,69.64,60.27,83.87,57.17,72.89,63,52,70,45,61,75,70,97,72,88,September 4,January 19,December 8,February 14,December 29,43.25,63.375,63.38,62.625,57,35,56,56,48,54,52,73,69,79,62,108,104,109,95,109,84,89,78,87,81,36,37,37,23,32,28,24,43,42,37,66.34,61.82,65.44,52.46,65.81,51.19,51.51,59.66,60.35,55.42,,,
Geococcyx_californianus,Greater Roadrunner,284.7,36,27,Calder and Schmidt-Nielsen 1967,,,,"Shasta, California (southwest of Redding)","Picket Wire Canyon, Otero, Colorado (Comanche National Grassland)","Shasta, California (southwest of Redding)","Otero, Colorado (north of Comanche National Grassland)","Bent, Colorado (south of La Junta)","Cascada Los Huenchos, Mexico (east of Tobasco, west of Ojocaliente)","Rosa Amarilla Loop-Circuito, Mexico (south of Lago de Chapala, north of Concepción de Buenos Aires)","Ejido San José Teña, Mexico (north of Mexico City, southwest of Actopan)","Concepción de Buenos Aires, Mexico","Los Tulipanes, Mexico (east Sierra de Lobos)",November 11,August 18,January 5,November 25,April 5,72.96,68.84,39.08,32.75,56.13,56,62,33,20,32,86,83,45,54,76,September 21,August 17,April 7,April 1,April 2,65.83,71.46,67.95,71.43,67.91,55,61,46,54,52,79,82,86,84,82,88,n/a,86,81,n/a,n/a,n/a,n/a,91,n/a,30,n/a,29,-19,n/a,n/a,n/a,n/a,41,n/a,51.63,n/a,51.9,37.43,n/a,n/a,n/a,n/a,68.73,n/a,,,
Geopelia_cuneata,Diamond Dove,38,40,34,Schleucher 1999,,,,"Pine Creek, Australia (east of Nitmiluk National Park)","Roper Gulf, Australia (south of nitmiluk National Park)","Mt. Tod Mine, Roper Gulf, Australia (west of Nitmiluk National Park)","Nitmiluk, Australia","Marrakai, Australia (south of Djukbinj National Park)","Lake Bindegolly, Bulloo, Australia","Binya State Forest, Carrathool, Australia","Murray-Sunset National Park, Lake Walla Walla, Mildura, Australia","Montecolina Bore, Australia (just east of Lake Blanche)","Wilcannia, Australia",March 9,July 31,September 12,September 15,July 11,83.41,81.9,84.68,85.97,82,72,75,79,82,73,95,90,90,91,90,August 21,January 21,May 17,June 14,May 28,56.37,94.68,62.36,67.81,44.66,40,77,59,64,34,71,111,67,71,57,95,97,97,99,97,n/a,n/a,n/a,n/a,n/a,55,61,63,70,59,n/a,n/a,n/a,n/a,n/a,79.16,82.6,83.99,84.14,81.15,n/a,n/a,n/a,n/a,n/a,,,
Geophaps_plumifera,Spinifex Pigeon,89,45,35,Withers and Williams 1990,,,,"Durack River, Wyndham East Kimberley, Australia (southeast of Drysdale River National Park and west of Parry Lagoons Nature Reserve","Wyndham Wharf, Wyndham-East Kimberley, Australia","Miniyeri, Australia","North of Lake Argyle, South of Kununurra and southeast of Parry Lagoons Nature Reserve, Wyndham-East Kimberley, Australia","Parry Lagoons Nature Reserve, Wyndham-East Kimberley, Australia","Welford National Park, Barcoo, Australia","Welford National Park, Barcoo, Australia","Welford National Park, Barcoo, Australia","Mount Augustus National Park, Upper Gascoyne, Australia","Watarrka National Park, MacDonnell, Australia",June 27,January 6,February 1,September 4,September 18,69.75,87.625,82.02,79.5,89.13,53,77,77,63,74,87,106,88,96,102,August 14,August 6,March 22,August 1,April 8,60.43,69.81,82.74,60,63.96,43,59,72,54,48,79,75,95,68,79,n/a,n/a,95,n/a,n/a,113,109,104,n/a,n/a,n/a,n/a,70,n/a,n/a,36,36,37,n/a,n/a,n/a,n/a,81.95,n/a,n/a,78.8,79.08,75.44,n/a,n/a,,,
Hemiphaga_novaeseelandiae,New Zealand Pigeon,443,30,20,McNab 2000,,,,"Kaeo, New Zealand","Waipoua Forest, New Zealand (southeast of Waimamaku)","Matapouri Bay, New Zealand (east of Matapo)","Kensington, New Zealand","Mataraua Forest, Northland, New Zealand (north of Donnelly's Crossing)","Rakiura National Park, Ulva Island, New Zealand","Doughboy Bay, Stuart Island, New Zealand","Port Adventure Hut and Peninsula, Stewart Island, New Zealand","Raikiura National Park, New Zealand","Rakiura National Park, Ulva Island, New Zealand",September 22,January 11,January 18,December 1,September 19,54.75,69.75,66.25,50,55.86,48,66,63,44,54,63,74,72,57,57,January 3,February 3,February 18,February 24,January 30,59.5,52.63,60.38,68,62,56,46,52,60,60,61,59,67,78,64,80,79,75,76,74,82,83,78,87,84,44,64,60,41,48,28,24,27,23,24,59.67,69.98,67.22,57.07,59.55,51.82,50.16,51.25,51.09,49.84,,,
Lanius_excubitor,Great Gray Shrike,60,36,26,Ward and Pinshow 1994,,,,"Lautamaa, Finland","north of Törmänen, south of Koppelo, Finland","Riekintie, Finland (north of Maikku, southwest of Natsional'nyy Park Paanayarvi)","Rödkallen, Sweden (southeast of Germandön)","Kourilehto, Finland","Southeast of Lake Ghoubet, southwest of We'a, Djibouti","Aledeghi Wildlife Reserve, Ethiopia","Decan Wildlife Refuge, Djibouti","Decan Wildlife Refuge, Djibouti","Aledeghi Wildlife Reserve, Ethiopia",April 12,September 2,June 2,September 24,February 14,33.08,55.33,34.5,46.31,15.9,19,43,32,43,-2,43,66,39,48,25,February 23,January 17,September 6,April 23,January 24,83.22,79.25,100.5,86.67,n/a,79,75,93,68,n/a,88,82,108,91,n/a,82,n/a,75,n/a,73,95,n/a,108,115,n/a,-6,n/a,30,n/a,-9,72,n/a,70,81,n/a,41.32,n/a,51.51,n/a,39.39,84.94,n/a,87.76,94.04,n/a,,,
Lonchura_fuscans,Dusky Munia,9.5,39,30,Weathers 1977,,,,"north of Kudat, Malaysia","Poring Hot Springs, Malaysia (east of Mount Kinabalu)","Sandakan, Malaysia","Merrimas Villa Resort, Simpang Mengayau, Malaysia","Tempasuk Plain, Malaysia (north of Kota Belud)","Kampung Sapit, Malaysia","Telaga, Indonesia, (southwest of Kruing, west of Sebangau National Park","Borneo Highland Resort, Malasia (south of Kampung Sapit)","Borneo Highland Resort, Malasia (south of Kampung Sapit)","Santubong National Park, Malaysia",October 26,May 17,December 13,July 4,January 11,80.875,82.25,77,82.5,83.33,75,77,73,75,77,91,91,82,91,90,March 29,July 19,March 27,May 13,September 6,81.66,81.83,80.89,82.89,79.95,73,73,75,75,75,93,93,91,91,88,93,97,91,n/a,97,97,n/a,95,97,95,72,73,73,n/a,73,72,n/a,73,72,72,81.48,82.95,80.15,n/a,82.75,81.52,n/a,80.63,81.11,80.77,,,
Loxioides_bailleui,Palila,36,31,17.5,Weathers and van Riper 1982,,,on big island of Hawai'i all 5 years,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Malurus_cyaneus,Superb Fairy-wren,8.9,35,26,"Lill, Box and Baldwin 2006",,,,"Boat Mountain Nature Reserve, australia","Lake Barambah, South Burnett, Australia (right by Wondai State Forest)","East of Bandana State Forest, west of Presho Forest Reserve, Australia","Wooroolin Wetlands, South Burnett, Australia","Wooroolin Wetlands, South Burnett, Australia","Southwest National Park, Tasmania, Australia","Southwest National Park, South Cape Bay, Tasmania, Australia","south of Southport Lagoon, Tasmania, Australia","Southwest National Park, South Cape Bay, Tasmania, Australia","Southwest National Park, South Cape Bay, Tasmania, Australia",July 25,March 14,November 11,January 3,March 8,61.2,70.83,71.06,75.75,78.25,50,63,63,72,69,72,81,79,80,86,March 20,October 8,April 2,October 9,February 22,65.28,55.28,52.36,56.49,78.12,61,48,45,46,66,73,64,59,64,97,93,n/a,100,n/a,n/a,100,90,90,86,97,41,n/a,61,n/a,n/a,34,37,34,39,43,67.78,n/a,77.24,n/a,n/a,53.83,58.74,54.62,57.35,60.69,,,
Melopsittacus_undulatus,Budgerigar,33.7,41,29,"Weathers and Schoenbaechler, 1976",,,,"North of Ngukurr, australia","Southeast of Timber Creek, Australia","Southeast of Timber Creek, Australia","Limestone Gorge Gregory National Park, Australia","Georgetown, Australia (West of Mount Surprise, south of Abingdon Downs)","Pengilly Scrub, Light, Australia (north of Adelaide)","Neale Junction Nature Reserve, australia","Lyndhurst, Australia","Hawker, Australia (south of Ikara Flinders Ranges National Park)","Pengilly Scrub, Light, Australia (north of Adelaide)",March 21,October 29,August 21,May 2,April 26,89.42,88.69,77.17,84.68,75.46,86,77,61,75,66,93,102,97,95,86,November 3,May 27,September 11,November 10,October 14,61.79,58.25,75.58,83.7,75.14,59,49,59,68,64,64,70,91,100,84,97,n/a,n/a,n/a,n/a,109,n/a,n/a,n/a,106,59,n/a,n/a,n/a,n/a,46,n/a,n/a,n/a,46,63.97,n/a,n/a,n/a,n/a,67.77,n/a,n/a,n/a,69.32,,,
Myiopsitta_monachus,Monk Parakeet,80.4,38.5,24.5,Weathers and Caccamise 1974,Winter,,,"Barcelona, Spain","Civitavechia, Italy","Barcelona, Spain","Barcelona, Spain","Zaragoza, Spain","General Conesa, Argentina","General Conesa, Argentina","Villalonga, Argentina","General Conesa, Argentina","General Conesa, Argentina",February 11,February 16,February 19,January 16,July 4,52.92,43.96,53.56,47.21,85.29,48,32,48,41,70,59,57,61,55,100,October 5,October 6,January 1,October 8,December 28,57.81,64.13,69.25,50.63,79.125,39,49,59,32,56,67,78,79,69,98,93,93,86,86,109,n/a,n/a,n/a,n/a,n/a,37,23,36,36,34,n/a,n/a,n/a,n/a,n/a,64.65,64.59,61.86,60.85,66.3,n/a,n/a,n/a,n/a,n/a,,,
Myiopsitta_monachus,Monk Parakeet,83.1,40,28,Weathers and Caccamise 1974,Summer,,,"Barcelona, Spain","Civitavechia, Italy","Barcelona, Spain","Barcelona, Spain","Zaragoza, Spain","General Conesa, Argentina","General Conesa, Argentina","Villalonga, Argentina","General Conesa, Argentina","General Conesa, Argentina",February 11,February 16,February 19,January 16,July 4,52.92,43.96,53.56,47.21,85.29,48,32,48,41,70,59,57,61,55,100,October 5,October 6,January 1,October 8,December 28,57.81,64.13,69.25,50.63,79.125,39,49,59,32,56,67,78,79,69,98,93,93,86,86,109,n/a,n/a,n/a,n/a,n/a,37,23,36,36,34,n/a,n/a,n/a,n/a,n/a,64.65,64.59,61.86,60.85,66.3,n/a,n/a,n/a,n/a,n/a,,,
Nestor_notabilis,Kea,836.9,28,5,McNab and Salisbury 1995,,,,"Kahurangi National Park, New Zealand","southwest of Otinra, New Zealand","Arthur's Pass National Park, New Zealand","Otira Valley, New Zealand","Arthur's Pass National Park, New Zealand","Mount Burns, Fiordland National Park, New Zealand","Pomplona Lodge, near Pariroa/Castle Mount, New Zealand","Long Sound (east of Only Island), New Zealand","Fiordland National Park, New Zealand","Spey River (just above the Mica Burn Junction), New Zealand",October 5,October 27,January 14,December 11,April 5,54,52,54.25,55.75,57.88,47,48,49,51,51,59,57,59,59,66,January 11,December 25,November 21,January 4,September 22,61.25,60.88,56.25,52.38,45.75,55,45,52,35,30,69,73,61,68,58,77,76,72,70,68,83,82,78,81,80,35,37,32,42,30,27,39,37,25,28,58.79,54.2,53.14,56.33,49.29,50.92,59.65,57.15,50.77,51.85,,,
Phalacrocorax_auritus,double-crested cormorant,1330,40,21,Hennemann 1983,,,,"Lake Louise, Alaska","Lake Louise, Alaska","Cordova, Alaska","Kenai Fjords National Park, Alaska","Kenai Fjords National Park, Alaska","Monkey River Town, Belize","Monkey River Town, Belize","Siene Bight, Belize","Bread and Butter Caye, Belize","Monkey River Town, Belize",May 19,May 20,February 21,June 4,June 20,50.79,48.63,21.37,53.54,55,45,45,13,48,51,57,53,27,60,59,February 28,May 29,February 21,March 11,February 21,81.64,87.63,82.06,82.76,76.53,77,81,77,79,72,86,91,86,86,81,89,n/a,n/a,75,85,97,n/a,n/a,93,95,12,n/a,n/a,-13,0,66,n/a,n/a,66,63,50.87,n/a,n/a,40.87,43.55,82.51,n/a,n/a,83.73,81.77,,,
Philetairus_socius,Sociable weaver,24.9,35,30,Whitfield et al. 2015,,,,"Etosha National Park, Namibia","Etosha National Park, Namibia","Etosha National Park, Namibia","Etosha National Park, Namibia","Etosha National Park, Namibia","Koa Dunes, South Africa (southeast Aggeneys)","Copperton, South Africa","south of Toekoms, South Africa","south of Toekoms, South Africa","Mokala National Park, South Africa",August 29,September 24,August 24,March 4,June 17,83.63,77.63,n/a,n/a,n/a,54,66,n/a,n/a,n/a,97,88,n/a,n/a,n/a,March 16,May 23,January 21,July 11,January 12,91.17,61.13,82.12,57.52,78.58,77,46,61,43,66,104,79,100,75,95,n/a,n/a,n/a,n/a,n/a,106,99,102,102,100,n/a,n/a,n/a,n/a,n/a,30,30,27,27,30,n/a,n/a,n/a,n/a,n/a,67.12,57.72,67.2,63.29,65.93,,,
Pica_nuttalli,Yellow-billed Magpie,151.9,33.5,13.5,Hayworth and Weathers 1984,*,,,"Shasta, California (southwest of Redding)","Colusa, California","Shasta, California (southwest of Redding)","Shasta, California (southwest of Redding)","east of Williams, California","Ballard, California","Buellton, California","Ballard, Canada","Beckmen Vineyards,  Canada","Olivas, California",May 22,November 3,January 6,December 7,December 31,64.28,66.63,39.24,38.54,35.65,47,52,30,34,25,79,83,49,47,52,January 20,January 15,September 4,May 30,October 1,56.79,53.53,73.21,59.41,74.17,46,42,72,57,61,67,61,74,65,93,107,83,113,n/a,n/a,86,101,96,93,95,30,30,30,n/a,n/a,31,35,30,31,34,65.33,49.91,66.86,n/a,n/a,55.67,59.38,60.37,60.3,60.21,,,
Pica_pica (Pica_hudsonia),Black-billed Magpie,158.9,32.5,21,Hayworth and Weathers 1984,*,,,"Nenana, Yukon-Koyukuk, Alaska","Pleasant Valley, Alaska","Denali National Park, Alaska","Denali National Park, Alaska","Denali National Park, Alaska","Apache Springs, New Mexico","Villanueva, Mexico","Villanueva, Mexico","Villanueva, Mexico","Villanueva, Mexico",June 11,June 3,June 14,August 8,June 1,60.29,61.79,58.63,64.88,46.79,47,48,45,57,37,67,72,68,75,57,January 6,March 24,March 19,June 14,January 30,33.16,58.8,61.12,71.77,55.72,27,37,39,55,43,39,84,75,84,66,86,84,89,79,84,92,93,91,84,88,-49,-24,-25,-35,-35,2,23,32,43,34,34.23,37.47,40.61,25.82,34.77,47.19,64.63,67.13,66.26,60.78,,,
Plocepasser_mahali,White-browed sparrow-weaver,39.4,40,25,Whitfield et al. 2015,,,,"Dulecha, Ethiopa","Dulecha, Ethiopa","Aledeghi Wildlife Reserve, Ethiopia","Aledeghi Wildlife Reserve, Ethiopia","Aledeghi Wildlife Reserve, Ethiopia","Mountain Zebra National Park, South Africa","Mountain Zebra National Park, South Africa","Mountain Zebra National Park, South Africa","Mountain Zebra National Park, South Africa","Mountain Zebra National Park, South Africa",October 20,July 7,February 5,May 21,March 21,62.84,n/a,68.1,n/a,n/a,55,n/a,59,n/a,n/a,72,n/a,77,n/a,n/a,April 22,April 1,January 14,January 14,January 4,62.06,69.45,68.3,72.47,70.5,59,66,57,68,64,64,75,77,81,77,n/a,n/a,n/a,n/a,n/a,95,91,97,99,93,n/a,n/a,n/a,n/a,n/a,36,37,55,50,52,n/a,n/a,n/a,n/a,n/a,61.83,60.69,70.82,67.47,69.57,,,
Podargus_ocellatus,Marbled Frogmouth,145,40,30,"Lasiewski, Dawson and Bartholomew 1970",Says the UCT and LCT are not sharply defined. (pg. 333) ,,,"Waigeo, Papua Barat, Indonesia","Waigeo, Papua Barat, Indonesia","Waigeo, Papua Barat, Indonesia","Warironi, Papua, Indonesia (Japen Island)","West Waigeo Nature Reserve, Papua Barat, Indonesia","East of Mount Kilkerran, Fergusson Island, Papua New Guinea","Iron Range National Park, Cook, Australia","Kwatu Lodge, Papua New Guinea (east of Kiunga)","Iron Range National Park, Cook, Australia","Kwatu Lodge, Papua New Guinea (east of Kiunga)",February 7,March 11,September 14,June 15,August 3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,August 13,January 13,July 28,February 11,June 28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Pterocles_burchelli,Burchell's sandgrouse,192.9,44,*,McKechnie et al. 2017,,,,"northeast of Nkasa Rupara National Park, south of Mashi Conservancy, Botswana","Vumbura, Botswana","Hwange National Park, Zimbabwe","Chobe National Park (Savuti Region), Botswana","Chobe National Park (Savuti Region), Botswana",east of Tswalu Game Reserve,"Kgalagadi Transfrontier Park, South Africa","Tswalu Kalahari Reserve, South Africa","Kgalagadi Transfrontier Park, South Africa","Tswalu Kalahari Reserve, South Africa",September 24,November,August 28,October 4,May 20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,May 8,January 19,April 8,January 10,January 19,64.33,88.56,75.96,92.23,84.84,59,73,66,73,64,70,102,91,108,100,n/a,n/a,n/a,n/a,n/a,100,106,100,111,106,n/a,n/a,n/a,n/a,n/a,30,30,27,27,37,n/a,n/a,n/a,n/a,n/a,62.42,70.31,60.37,68.34,73.83,,,
